text,label
"The government passed a new law regarding climate change.",Politics
"The prime minister met with foreign delegates today.",Politics
"The football team won the championship after a tough match.",Sports
"The player broke the world record in the 100m sprint.",Sports
"Apple is set to release a new iPhone next month.",Technology
"Researchers developed a new AI model for voice recognition.",Technology
"Parliament debated on the new education policy.",Politics
"Barcelona signed a new striker for the upcoming season.",Sports
"Google's latest algorithm improves search accuracy.",Technology
"The finance minister presented the annual budget.",Politics
